repo_url,oai_url,repo_type,repo_name,org_url,doar_uri
http://eprints.mdx.ac.uk/,http://eprints.mdx.ac.uk/cgi/oai2,institutional,Middlesex University Research Repository,http://www.mdx.ac.uk/,https://v2.sherpa.ac.uk/id/repository/213
http://minds.wisconsin.edu/,http://minds.wisconsin.edu/oai/request,institutional,Minds@University of Wisconsin,http://www.wisc.edu/,https://v2.sherpa.ac.uk/id/repository/214
http://www.mpifg.de/pu/mpifg_pub_en.asp,NA,institutional,Max Planck Institute for the Study of Societies Publications,http://www.mpifg.de/,https://v2.sherpa.ac.uk/id/repository/216
https://mspace.lib.umanitoba.ca,NA,institutional,MSpace at the University of Manitoba,http://www.umanitoba.ca/,https://v2.sherpa.ac.uk/id/repository/217
http://monarch.qucosa.de/startseite/,http://monarch.qucosa.de/oai/,institutional,Multimedia ONline ARchiv CHemnitz,http://www.tu-chemnitz.de/,https://v2.sherpa.ac.uk/id/repository/218
http://www.mzes.uni-mannheim.de/d7/de/publications/search?f[0]=field_biblio_mzes_pub_type%3A1/,NA,institutional,Mannheimer Zentrum für Europäische Sozialforschung Publikationen,http://www.uni-mannheim.de/,https://v2.sherpa.ac.uk/id/repository/219
http://eprints.maynoothuniversity.ie/,http://eprints.maynoothuniversity.ie/cgi/oai2,institutional,Maynooth University ePrints & eTheses Archive,http://www.maynoothuniversity.ie/,https://v2.sherpa.ac.uk/id/repository/223
http://lsr.nellco.org/,http://lsr.nellco.org/do/oai/,aggregating,NELLCO Legal Scholarship Repository,http://www.nellco.org/,https://v2.sherpa.ac.uk/id/repository/224
https://eprints.ncl.ac.uk,https://eprints.ncl.ac.uk/oai,institutional,Newcastle University ePrints,https://www.ncl.ac.uk,https://v2.sherpa.ac.uk/id/repository/225
http://eprints.nottingham.ac.uk,http://eprints.nottingham.ac.uk/cgi/oai2,institutional,Nottingham ePrints,https://www.nottingham.ac.uk,https://v2.sherpa.ac.uk/id/repository/226
http://eprints.nottingham.ac.uk/etheses/,http://eprints.nottingham.ac.uk/cgi/oai2,institutional,Nottingham eTheses,http://www.nottingham.ac.uk/,https://v2.sherpa.ac.uk/id/repository/227
http://www.oceandocs.org/,https://www.oceandocs.org/oai,disciplinary,OceanDocs,http://www.iode.org/,https://v2.sherpa.ac.uk/id/repository/229
https://kb.osu.edu/dspace/,https://kb.osu.edu/oai/request,institutional,KnowledgeBank at OSU,http://www.osu.edu/,https://v2.sherpa.ac.uk/id/repository/230
http://etd.ohiolink.edu/,https://etd.ohiolink.edu/!etd_search_oai,aggregating,OhioLINK Electronic Thesis and Dissertation Center,http://www.ohiolink.edu/,https://v2.sherpa.ac.uk/id/repository/231
